"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6568","Login validation - EMPTY_USERNAME","chromium","2026-05-05","passed","2026-05-05","Login Validation with Invalid Credentials and Field Validations Scenarios","loginInvalidTest.spec.js","",""
"","6635","Login validation - SQL_INJECTION","chromium","2026-05-05","passed","2026-05-05","Login Validation with Invalid Credentials and Field Validations Scenarios","loginInvalidTest.spec.js","",""
"","6628","Login validation - INVALID_PASSWORD_FORMAT","chromium","2026-05-05","passed","2026-05-05","Login Validation with Invalid Credentials and Field Validations Scenarios","loginInvalidTest.spec.js","",""
"","12165","Verify logged-in username is displayed","chromium","2026-05-05","passed","2026-05-05","Positive Login Test Suite","loginTest.spec.js","",""
"","7116","Login validation - INVALID_BOTH","chromium","2026-05-05","passed","2026-05-05","Login Validation with Invalid Credentials and Field Validations Scenarios","loginInvalidTest.spec.js","",""
"","6778","Login validation - LONG_PASSWORD","chromium","2026-05-05","passed","2026-05-05","Login Validation with Invalid Credentials and Field Validations Scenarios","loginInvalidTest.spec.js","",""
"","9514","Valid login with username and password","chromium","2026-05-05","passed","2026-05-05","Positive Login Test Suite","loginTest.spec.js","",""
"","7270","Valid login using email","chromium","2026-05-05","passed","2026-05-05","Positive Login Test Suite","loginTest.spec.js","",""
"","10957","Casino Footer Compliance Audit","chromium","2026-05-05","passed","2026-05-05","","footerTest.spec.js","",""
"","5458","Login validation - EMPTY_CREDENTIALS","chromium","2026-05-05","passed","2026-05-05","Login Validation with Invalid Credentials and Field Validations Scenarios","loginInvalidTest.spec.js","",""
"","15556","Login performance check","chromium","2026-05-05","passed","2026-05-05","Positive Login Test Suite","loginTest.spec.js","",""
"","20272","Multiple users login sequentially","chromium","2026-05-05","passed","2026-05-05","","loginTest.spec.js","",""
"","6929","Login validation - INVALID_PASS","chromium","2026-05-05","passed","2026-05-05","Login Validation with Invalid Credentials and Field Validations Scenarios","loginInvalidTest.spec.js","",""
"","6500","Login validation - SHORT_PASSWORD","chromium","2026-05-05","passed","2026-05-05","Login Validation with Invalid Credentials and Field Validations Scenarios","loginInvalidTest.spec.js","",""
"","8885","Login validation - INVALID_USER","chromium","2026-05-05","passed","2026-05-05","Login Validation with Invalid Credentials and Field Validations Scenarios","loginInvalidTest.spec.js","",""
"","12409","Login session persists after reload","chromium","2026-05-05","passed","2026-05-05","Positive Login Test Suite","loginTest.spec.js","",""
"","7788","Login validation - USERNAME_SPECIAL_CHARS","chromium","2026-05-05","passed","2026-05-05","Login Validation with Invalid Credentials and Field Validations Scenarios","loginInvalidTest.spec.js","",""
"","9398","Login validation - USERNAME_WITH_SPACES","chromium","2026-05-05","passed","2026-05-05","Login Validation with Invalid Credentials and Field Validations Scenarios","loginInvalidTest.spec.js","",""
"","6070","Login validation - EMPTY_PASSWORD","chromium","2026-05-05","passed","2026-05-05","Login Validation with Invalid Credentials and Field Validations Scenarios","loginInvalidTest.spec.js","",""
"","7891","Login and access profile settings page","chromium","2026-05-05","passed","2026-05-05","Positive Login Test Suite","loginTest.spec.js","",""
"","12205","Login and navigate to Casino page","chromium","2026-05-05","passed","2026-05-05","Positive Login Test Suite","loginTest.spec.js","",""
"","11087","Login validation - INVALID_EMAIL_FORMAT","chromium","2026-05-05","passed","2026-05-05","Login Validation with Invalid Credentials and Field Validations Scenarios","loginInvalidTest.spec.js","",""
"","8381","Login validation - LONG_USERNAME","chromium","2026-05-05","passed","2026-05-05","Login Validation with Invalid Credentials and Field Validations Scenarios","loginInvalidTest.spec.js","",""
